127,2:07 whats the videoo he is so adorableee,0
943,15:43...the way he was putting grass on animals head n saying let's get it.....most cutest n purest thing I have ever seen,0
149,2:29... Namjoon n his hyungs ....so adorable,0
523,8:43,0
400,6:40 from what video is that?,0
219,"3:39 
RM:Me no jam,No you Jam
Me:Jimin got no jam😬",0
617,10:17 awww Namjoonie JAJAJA,0
212,3:32 they missed such a huge opportunity. If you know you know... Also leave a like if you know cx ☺️,0
219,3:39 and namjoon has proceeded to take away hobi's jams,0
77,1:17 is like the best oh my baby. Tae 💜💜,0
33,0:33-1:03 namjoon so handsome. Like a profesor doctor. Kim namjoon. I want to go the hospital every day. Because im sick because of you.,0
531,"8:51 When j hope eat his burger
Yoongi: aww that my
But when namjoon want his maple
Yoongi just give him",4
585,9:45 what's the name of this video?,0
844,14:04 .  Is full part of this video in youtube where can i find it can someone help me,0
305,5:05 yikes.. caught Namjoon doing a thing that will surely fuel some sub-Namjoon fics.,0
115,1:55 DONDE PUEDO VERLO COMPLETO ???????,0
365,6:05 JImin sits like a normal person in Korea haha,0
195,3:15 Namjoon is always use to being the tall one in the room the minute he’s the short one he has a complete  fit lmaooooo ...can’t relate I’m always the shortest,0
80,1:20 is from which content,0
285,4:45 i still cant believe they made it onto the news for making coffe 😂,3
1129,"18:49 the editor and JK's laugh, Namjoon as described by the members outside work is really a child, needs someone to supervise his daily normal activities like cooking or simply navigating the house haha",1
77,1:17 when was that,0
890,14:50 RM must have had such a restricted childhood that he couldn’t watch anime/cartoons...Im glad he can be more himself now,0
224,3:44 idk why this clip always makes me happy 😭 just the way namjoons holding that bread and walks over there is so cute JSHSKAJJS,1
232,"3:52

Joon ah stop eating all of Jimin's jams 😂 its already non existent.",1
136,"2:16 - 2:57
I busted my biggest UWUs ever",1
1135,18:55 the two babies <33,0
634,10:34 CAN SOMEONE TELL ME WHERE THAT'S FROM PLEATHE AHDJDHFKSJTJ-,0
202,"3:22
Bish who made subs here with those nicknames? Cuteee",0
399,"6:39 it's ""here comes a/the new challenger"" btw hehe",1
729,12:09 Do Jimin and Namjoon have the same shirt? The one with the smiley's on the elbows.,2
632,10:32 what clip is this from please ?,0
182,3:02 joon just accept you need to understand that your not the tallest in bighit sad but true 😣😂he's so cute,2
820,13:40 explains they know about the memes we make,1
726,12:06 where is this scene from???,1
568,"9:28 ""chef meow's"" XD♡",2
835,13:55 where are these clips from?,2
637,10:37 is the best,1
568,"9:28 
The FACT THAT THEY CALL YOONGI CHEF MEOW",3
924,15:24 he's secretly a vocalist u guys,3
212,"3:32 I thought J-hope would say ""Jimin,you got no jams""
;-;",3
388,6:28 im dying LOL,2
378,6:18 where can i watch this,2
72,1:12 video name please,1
89,"1:29  
1:49 
2:39

Where are these from ?",0
36,0:36 proof that rm is god of destruction 😁,4
164,"2:44
will they say that when they see a hermit crab the size of a coconut
in maldives there are many hermit crabs and they can grow the same size of  a big cocnut",1
833,13:53 the 94 liners everyone 🤣🤣🤣,2
265,4:25 I thought I was the only one who does this. 😂,2
211,3:31 which video it was I'm curious,1
63,"1:03 what’s name of the show, pls",1
586,9:46 where can i find this??,1
166,2:46 “you are still very innocent” me: are you sure about that?🤨,2
391,6:31 what video is this clip from ?,1
1231,"20:31 ..I guess JK fell in love again hehe.. And members are going to ship themselves to Joonie too..
He's just too lovable!!",0
212,3:32 I Have Found Jimins Lost Jams ^w^,1
35,0:35 Real living the same day over again xD,1
572,"9:32 the way Yoongi pronounced ""chicken stock"" is just too cute 🥺🥺",4
1246,20:46 where can i watch that?,0
1180,19:40 Jk- There is a verse too(in Namjoon’s snoring lullaby)😂😂😂I laughed way too hard on this🤣🤣💜,10
221,"3:41 Did u guys hear it ?
Joonie has officially announced that he has no jams.
Maybe noe jimins jams will return.",1
832,13:52 JK look like somebody mom cheering on her two crazy children,1
218,"3:38 -
hoseok : oh, no jam?
namjoon : me no jam, no you jam
me : jimin no jam ;-;
is it just me?",2
843,"14:03 father, mother and child lol",1
594,9:54 **I wanna be a lobster** dead 😂,13
1128,18:48 It’s so cute to see the two maknaes 😂💜,4
434,7:14 where is this scene from?,1
212,3:32 J-hope stole Jimin’s Jams,2
6,0:06 Woah honestly I want this duality.,2
165,"2:45, Jin:Namjoon you are still very innocent 
Also Jin and Namjoon:Watching porn together",0
288,"4:48 i remember watching this he asked if it was live that  made me laugh especially when jimin looked at him😂 
RM in his overalls so cute!",8
388,6:28 where is here guys?????????,0
67,1:07 this has to be the cutest NamKook moment ever 🥺,12
290,4:50 who got killed by that smile 😍😍😍,9
221,3:41 WAIT WHAT KIM NAMJOON? LMAO,1
533,"8:53  Suga gave RM the snack without seeing him,but he really cares every member😄 Namjoonie is very cuuuuuuttttte eeeeeeeeeeeeeeeeeeeeeeeeeee.......",77
212,3:32 They are eating Jimins Jams🤣🤣🤣,6
