609,10:09 Namjoon what are you doing there😭🙏,1,-0.4767
990,16:30 too cute-,0,0.2263
725,12:05 Ok jim jim's eyes...WOW,1,0.2263
56,0:56 ...The manly voice...WAIT that was jk?! 😲😮🤔,1,0.4389
1292,21:32 look at jimin..oh my gosh...he looks so cool..a gangster👍😍,0,0.4588
720,12:00 our golden jungkook eating ...spicy?? maybe 🤣😘,0,0.2263
517,8:37 wow...Rm looks..wow..amazing so handsome Rm..wow..he so cool😍...btw...my bias is jimin ♥️,0,0.9298
608,10:08 are y’all seeing that👀,0,0.0
830,"13:50 hahahahahahadjgagdykafakefghayf I CAN´T, ILY JINNIE",0,0.2263
941,15:41 - 15:42 - 15:44 Damn Kookie is jealous when Joon is with Tae,0,-0.6908
929,"15:29 Jin after touching Namjoon’s shoulder with his finger 
Jin: Imma just act casual while flirting with my boyfriend",0,0.3818
989,16:29 is the timestamp ya'll looking for,0,0.0
953,15:53 we all love Vmin’s friendship in the car 💓💓😃,1,0.9823
869,14:29 if you are wondering who’s hand that was that was Jin’s hand!!! 😃😂,0,0.9131
990,16:30 OmG TaEHyUnG EnGliSH Is SO CuTe!,1,0.7248
908,"15:08 
Namjoon: it’s not in my vocabulary 
Tae: well then look it up 
IM SCREAMING LMAOOOFJFH
(Edit: Accidentally put the wrong time stamp)",0,-0.7739
608,10:08 WHAT WAS NAMJOON DOING IM WHEEZING-,1,0.2263
933,"15:33 ""It's not in my vocabulary... Where do I look it up?"" 
... um... try an *English* dictionary.",4,0.0
1260,21:00 just look at namjoon at the back,0,0.0
612,10:12 did anybody notice RM at the back,0,0.0
608,"10:08
حسبنا الله",0,0.2263
1140,"19:00 in this moment while they're walking between famous people on Red Carpet, I can hear ""BTS"" being pronounced so many times 

I'm so proud",0,0.6113
1139,"18:59 omg thats so cutte, real love",1,0.6666
822,"13:42 jimin so cute 😁😁
23:45 jimin 💜💜💜",0,0.2263
1168,19:28 ke le pasa a tae no se ve muy feliz 😯😢,0,0.2263
1209,20:09 Shawn and Camila😯,1,0.0
608,10:08 just realised that behind koya was namjoon 😲😲,0,0.6369
567,9:27 TAEHYUNG’S HAIRRRR AHHH!,4,0.2263
14,0:14 vkook back:3,0,0.2263
147,2:27 Jungkook's so smart for that,1,0.541
608,10:08 Namjoon is he shirtless ?,1,0.0
1291,21:31 чисто чей-то батя на семейном празднике затирает про смысл жизни под бой курантов,0,0.2263
1533,"25:33 Kim Seokjin, you are gonna be the death of mine *.*",0,-0.5994
580,"9:40 I started getting nervous for them for some reason, like I was them so I cant imagine the nerves they must have felt at their 1st Grammy Awards💞🥺✨",3,0.8833
420,7:00 Namjoon is toooo cute,0,0.4588
1422,"23:42 شبيك خويه تخبلت😂🤣

25:43خويه خلاص الكل وانته بس تحجي😭😭😂",0,0.2263
1243,20:43 which song r they talking about??how can i watch it??,0,0.0
1290,21:30 jungkook was like nas were bts you know,0,0.2263
1561,"26:01 


That's when we all realize that only Jungkook has eyes for Taehyung















sorry but i like taekook!",16,0.5255
198,3:18 what did namjoon say?😂,1,0.2263
712,11:52 a Jungkook le picaba el poto 👁️👄👁️ ok no xD,2,0.2263
193,"3:13 jk: You You go 
Me: lol 🤣😂",3,0.2263
1178,19:38 it’s the time I died,0,-0.5574
526,8:46- just 46 seconds... y'all my boys deserve full 2 hours and more than that....,3,0.0
619,10:19  what is RM doing back there ? HAHAHAHA,0,0.0
1230,20:30 Taehyung's face nooo I'm cryingg🥺🥺,1,0.2263
1259,"20:59 ""we didn't get called last year, but we did this year""

*I'm so proud of our boys* 🥺",19,0.757
1563,"26:03 namjoon saw tae's tummy and went: *pat pat* ,,, I'm soft 🥺",0,0.0
1563,"26:03
joon's brain: do it
joon: but why-
joon's brain: just do it
joon: *pats tae's tummy*",3,0.0
1616,"26:56
""we'll do our best to look pretty for you guys""
*THE AUDACITY*",2,0.8126
